row,address,directions
"32","140-32 Cherry Ave, Queens, NY","Walk to 3 Avenue & 29 St
Bus towards East Harlem 125 St via 3 Av — take the M103 toward East Harlem 125 St via 3 Av (5 stops), exit at 3 Av/E 42 St
Walk to Grand Central-42 St
Subway towards Flushing-Main St — take the 7X toward Flushing-Main St (11 stops), exit at Flushing-Main St
Walk to Main St & 40 Rd
Bus towards Jamaica Lirr — take the Q25 toward Jamaica Lirr (3 stops), exit at Kissena Blvd/Elder Av
Walk to 140-32 Cherry Ave, Flushing, NY 11355, USA"
"33","99-13 Northern Blvd, Queens, NY","Walk to 3 Avenue & 29 St
Bus towards East Harlem 125 St via 3 Av — take the M103 toward East Harlem 125 St via 3 Av (5 stops), exit at 3 Av/E 42 St
Walk to Grand Central-42 St
Subway towards Flushing-Main St — take the 7X toward Flushing-Main St (9 stops), exit at Junction Blvd
Walk to 99-13 Northern Blvd, Flushing, NY 11368, USA"
"34","289 Saint Nicholas Ave, New York, NY 10027","Walk to E 34 St/1 Av
Bus towards Select Bus Pa Bus Trm via 34 St Via 8 Av — take the M34A-SBS toward Select Bus Pa Bus Trm via 34 St Via 8 Av (7 stops), exit at 8 Av/W 34 St
Walk to 34 St-Penn Station
Subway towards Inwood-207 St — take the A Line toward Inwood-207 St (3 stops), exit at 125 St
Walk to 289 St Nicholas Ave, New York, NY 10027, USA"
"35","252 W 46th St 2nd Floor, New York, NY 10036","Walk to E 34 St/1 Av
Bus towards Select Bus Pa Bus Trm via 34 St Via 8 Av — take the M34A-SBS toward Select Bus Pa Bus Trm via 34 St Via 8 Av (10 stops), exit at W 43 St/8 Av
Walk to 252 W 46th St 2nd fl, New York, NY 10036, USA"
"36","411 E 12th St, New York, NY 10009","Walk to 411 E 12th St, New York, NY 10009, USA"
"37","122 East 37th St basement level, New York, NY","Walk to E 34 St/1 Av
Bus towards Select Bus Pa Bus Trm via 34 St Via 8 Av — take the M34A-SBS toward Select Bus Pa Bus Trm via 34 St Via 8 Av (2 stops), exit at E 34 St/3 Av
Walk to 122 E 37th St, New York, NY 10016, USA"
"38","413 E 79th St, New York, NY 10075","Walk to 1 Av/E 29 St
Bus towards Select Bus Service 125 St via 1 Av — take the M15-SBS toward Select Bus Service 125 St via 1 Av (6 stops), exit at 1 Av/E 80 St
Walk to 413 E 79th St, New York, NY 10075, USA"
"39","33-19 101st Street, Corona, NY 11368","Walk to 1 Av/E 29 St
Bus towards Select Bus Service 125 St via 1 Av — take the M15-SBS toward Select Bus Service 125 St via 1 Av (2 stops), exit at 1 Av/E 43 St
Walk to Grand Central-42 St
Subway towards Flushing-Main St — take the 7 toward Flushing-Main St (13 stops), exit at 103 St–Corona Plaza
Walk to 103 St/Roosevelt Av
Bus towards East Elmhurst — take the Q14 toward East Elmhurst (3 stops), exit at 103 St/Northern Blvd
Walk to 33-19 101st St, Flushing, NY 11368, USA"
"40","25 Chapel St, Brooklyn, NY 11201","Walk to East 34th Street
Ferry towards Wall St./Pier 11 — take the AS toward Wall St./Pier 11 (1 stop), exit at Brooklyn Navy Yard
Walk to Navy Yard Dr/4 Row
Bus towards Kensington Cortelyou Rd via 7 Av — take the B67 toward Kensington Cortelyou Rd via 7 Av (5 stops), exit at Jay St/Chapel St
Walk to 25 Chapel St, Brooklyn, NY 11201, USA"
"41","800 Barretto St, Bronx, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (19 stops), exit at Hunts Point Av
Walk to 800 Barretto St, Bronx, NY 10474, USA"
"42","2640 Third Ave, Bronx, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (13 stops), exit at 3 Av-138 St
Walk to 2640 3rd Ave, Bronx, NY 10454, USA"
"43","333 E 149th St, Bronx, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (2 stops), exit at Grand Central-42 St
Walk to Grand Central-42 St
Subway towards Eastchester-Dyre Av — take the 5 Line toward Eastchester-Dyre Av (6 stops), exit at 3 Av-149 St
Walk to 333 E 149th St, Bronx, NY 10451, USA"
"44","800 Barretto Street, Bronx, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (19 stops), exit at Hunts Point Av
Walk to 800 Barretto St, Bronx, NY 10474, USA"
"45","2759 Webster Avenue, Bronx, NY","Walk to 28 St
Subway towards 3 Av-138 St — take the 6 Train toward 3 Av-138 St (2 stops), exit at Grand Central-42 St
Walk to Grand Central-42 St
Subway towards Woodlawn — take the 4 Line toward Woodlawn (14 stops), exit at Kingsbridge Rd
Walk to Parking lot, 2759 Webster Ave, Bronx, NY 10458, USA"
"46","1911-21 Jerome Avenue, Bronx, NY","Walk to 28 St
Subway towards 3 Av-138 St — take the 6 Train toward 3 Av-138 St (2 stops), exit at Grand Central-42 St
Walk to Grand Central-42 St
Subway towards Woodlawn — take the 4 Line toward Woodlawn (10 stops), exit at 176 St
Walk to 1911-21 Jerome Ave, Bronx, NY 10453, USA"
"47","601 West 114th St, New York, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (6 stops), exit at West 23 St & 7 Avenue
Walk to 23 St
Subway towards Van Cortlandt Park-242 St — take the 1 Line toward Van Cortlandt Park-242 St (13 stops), exit at 116 St-Columbia University
Walk to 601 W 114th St, New York, NY 10025, USA"
"48","251 West 80th St, New York, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (6 stops), exit at West 23 St & 7 Avenue
Walk to 23 St
Subway towards Van Cortlandt Park-242 St — take the 1 Line toward Van Cortlandt Park-242 St (8 stops), exit at 79 St
Walk to 251 W 80th St, New York, NY 10024, USA"
"49","8 E 3rd St, New York, NY","Walk to 2 Avenue & East 25 Street
Bus towards Pike St -Via 2 Av — take the M15 toward Pike St -Via 2 Av (8 stops), exit at 2 Avenue & East 3 St
Walk to 8 E 3rd St, New York, NY 10003, USA"
"50","651 W 168th St, New York, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (6 stops), exit at West 23 St & 7 Avenue
Walk to 23 St
Subway towards Van Cortlandt Park-242 St — take the 1 Line toward Van Cortlandt Park-242 St (18 stops), exit at 168 St-Washington Hts
Walk to 651 W 168th St, New York, NY 10032, USA"
"51","356 W 18th St, New York, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (8 stops), exit at W 23 St/9 Av
Walk to 356 W 18th St, New York, NY 10011, USA"
"52","743-749 E 9th St, New York, NY","Walk to E 23 St & 1 Av
Bus towards Battery Pk City via Avenue C Via Pk Row — take the M9 toward Battery Pk City via Avenue C Via Pk Row (7 stops), exit at Avenue C/E 10 St
Walk to 743-749 E 9th St, New York, NY 10009, USA"
